,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.9703330397605896,0.9832985997200012,99.75173950195312,0.9620881080627441,0.9793312549591064,99.19707489013672
1,0.9506503939628601,0.9732016921043396,98.70539093017578,0.9402275085449219,0.9679732322692871,98.0787124633789
2,0.9259771108627319,0.9601823687553406,97.4186782836914,0.9095761775970459,0.9514899253845215,96.4888916015625
3,0.8901379704475403,0.9405136108398438,95.50033569335938,0.8659820556640625,0.9269176721572876,94.1407699584961
4,0.8437157869338989,0.9137818813323975,92.92314910888672,0.8151697516441345,0.8967249989509583,91.25395202636719
5,0.7935813665390015,0.883448600769043,89.99807739257812,0.7645260095596313,0.8651005625724792,88.22107696533203
6,0.7449169158935547,0.8526015281677246,87.01641082763672,0.717322587966919,0.8342622518539429,85.25456237792969
7,0.6992718577384949,0.8223907947540283,84.08940887451172,0.6730210185050964,0.804069995880127,82.34754180908203
8,0.6559197902679443,0.792468786239624,81.21037292480469,0.6304687261581421,0.7738125920295715,79.43569946289062
9,0.6137571334838867,0.7621141076087952,78.29632568359375,0.5885241627693176,0.7427031993865967,76.44914245605469
10,0.571712851524353,0.7305347323417664,75.27273559570312,0.5460245013237,0.709773063659668,73.29925537109375
11,0.5288500785827637,0.6968619227409363,72.06645965576172,0.5024048686027527,0.6743203401565552,69.92120361328125
12,0.48489972949028015,0.6605812311172485,68.62339782714844,0.45764532685279846,0.6359595060348511,66.27738189697266
13,0.43997859954833984,0.621471643447876,64.92717742919922,0.41192853450775146,0.5945084691047668,62.35218048095703
14,0.39430123567581177,0.5794966816902161,60.977294921875,0.365935355424881,0.5503993630409241,58.201717376708984
15,0.34909898042678833,0.5355938076972961,56.8808708190918,0.32164081931114197,0.5052827596664429,53.97358322143555
16,0.3063068687915802,0.4915424585342407,52.789546966552734,0.2808055281639099,0.46113401651382446,49.84379196166992
17,0.26711156964302063,0.44887110590934753,48.83879089355469,0.24395343661308289,0.41907578706741333,45.91826629638672
18,0.23174162209033966,0.4082489311695099,45.09202575683594,0.21098555624485016,0.3794252574443817,42.22809982299805
19,0.20008604228496552,0.3702225089073181,41.60030746459961,0.18165242671966553,0.34813013672828674,39.36617660522461
20,0.17193807661533356,0.33884838223457336,38.76845932006836,0.1556561142206192,0.31935611367225647,36.74711608886719
21,0.14699922502040863,0.31042003631591797,36.22397232055664,0.13269129395484924,0.2911238372325897,34.16950988769531
22,0.12500236928462982,0.2825910449028015,33.72238540649414,0.11247521638870239,0.2635776996612549,31.644287109375
23,0.10568781197071075,0.25556644797325134,31.287677764892578,0.09476029127836227,0.23697887361049652,29.19379425048828
24,0.08880385011434555,0.22962671518325806,28.942461013793945,0.07931014150381088,0.21165186166763306,26.847211837768555
25,0.0741143450140953,0.20506466925144196,26.712202072143555,0.06588712334632874,0.18785050511360168,24.626893997192383
26,0.06138721853494644,0.18216554820537567,24.61886215209961,0.05426075682044029,0.16829733550548553,22.803569793701172
27,0.050381045788526535,0.162746861577034,22.851778030395508,0.04422449320554733,0.15159526467323303,21.238279342651367
28,0.04091751202940941,0.14623725414276123,21.348522186279297,0.035610347986221313,0.1358610838651657,19.747167587280273
29,0.03282921016216278,0.13094595074653625,19.94772720336914,0.028286948800086975,0.12274673581123352,18.499393463134766
30,0.025997411459684372,0.11777321994304657,18.742542266845703,0.02214794233441353,0.11048034578561783,17.321826934814453
31,0.020317040383815765,0.10539504885673523,17.602867126464844,0.017103470861911774,0.09795236587524414,16.106246948242188
32,0.01570425182580948,0.09296876937150955,16.444229125976562,0.013071129098534584,0.08544017374515533,14.882536888122559
33,0.012071430683135986,0.08073943853378296,15.295520782470703,0.009963616728782654,0.07330580800771713,13.688055038452148
34,0.009318607859313488,0.06908608227968216,14.189924240112305,0.007676837500184774,0.0619066022336483,12.558303833007812
35,0.0073389774188399315,0.05839534476399422,13.169429779052734,0.006087043322622776,0.05157673731446266,11.528523445129395
36,0.005991771351546049,0.04895101860165596,12.262252807617188,0.005054130684584379,0.04263496771454811,10.630395889282227
37,0.005139178596436977,0.04105577617883682,11.498946189880371,0.004434354603290558,0.03525492548942566,9.883099555969238
38,0.004641795065253973,0.034826576709747314,10.891075134277344,0.004097392782568932,0.029499460011720657,9.295587539672852
39,0.0043761651031672955,0.0303269661962986,10.446110725402832,0.003934054635465145,0.025300607085227966,8.862811088562012
40,0.004247596021741629,0.027445295825600624,10.16033935546875,0.003864793572574854,0.02274424396455288,8.595069885253906
41,0.004193645436316729,0.025850504636764526,9.999602317810059,0.0038417878095060587,0.021245641633868217,8.435962677001953
42,0.004172734450548887,0.025009706616401672,9.912758827209473,0.0038357297889888287,0.02037452720105648,8.342033386230469
43,0.004165614489465952,0.02459012344479561,9.868633270263672,0.0038363062776625156,0.02004123106598854,8.3051176071167
44,0.004164376296103001,0.024401798844337463,9.848607063293457,0.0038379360921680927,0.019963664934039116,8.295818328857422
45,0.004162568133324385,0.02432311698794365,9.83847713470459,0.003840415272861719,0.019966010004281998,8.296494483947754
46,0.004161507356911898,0.024275513365864754,9.832769393920898,0.0038417265750467777,0.019952310249209404,8.295859336853027
47,0.004160498268902302,0.024265216663479805,9.828352928161621,0.003841825295239687,0.019898852333426476,8.291054725646973
48,0.004161139018833637,0.024280013516545296,9.832559585571289,0.0038443703670054674,0.019902601838111877,8.293514251708984
49,0.004160672426223755,0.024262143298983574,9.831233978271484,0.0038451538421213627,0.019864466041326523,8.290794372558594
