,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.063123584,0.11429991,0.0042039063,0.027575279,18.470436,9.1498995
1,0.0041778046,0.026085598,0.004094334,0.028663509,9.943022,9.225549
2,0.00414578,0.025368826,0.0040951096,0.029245608,9.865807,9.277931
3,0.004132688,0.025048664,0.004121723,0.029412095,9.827447,9.295212
4,0.004131851,0.02491289,0.004098528,0.029769177,9.814338,9.307662
5,0.004127116,0.024869896,0.0040672245,0.030311147,9.800677,9.339093
6,0.0041248375,0.024841018,0.004062337,0.029816762,9.798201,9.287441
7,0.0041198246,0.024765551,0.004055188,0.0298097,9.788849,9.282706
8,0.0041174986,0.024770005,0.00403591,0.03004295,9.791555,9.297115
9,0.0041122693,0.024732372,0.0040148757,0.029724207,9.782757,9.2502165
10,0.0041138176,0.024784768,0.004012607,0.029434504,9.794306,9.211505
11,0.0041145217,0.024749026,0.004037675,0.030229757,9.784432,9.276912
12,0.004116257,0.024757335,0.0040292908,0.030683523,9.785907,9.305743
13,0.0041144677,0.024727609,0.0040051765,0.029016953,9.779927,9.168825
14,0.0041165636,0.02471417,0.0039640153,0.027633762,9.777798,9.019175
15,0.0041126325,0.024665568,0.003988914,0.028983021,9.770193,9.156145
16,0.0041135415,0.024676152,0.003942692,0.027238647,9.772944,8.999778
17,0.00412011,0.024745746,0.003960532,0.028575473,9.777076,9.127902
18,0.004114812,0.024650501,0.003917777,0.026792176,9.765856,8.959559
19,0.0041138628,0.024589442,0.0039403667,0.028248975,9.765063,9.081616
20,0.00411146,0.024535166,0.0038893106,0.026209468,9.757864,8.887345
21,0.0041073738,0.02449852,0.003919875,0.027871067,9.752318,9.04708
22,0.004113516,0.024574038,0.003876867,0.02474983,9.757026,8.768614
23,0.0041056224,0.02444823,0.0038700819,0.025565779,9.748257,8.839122
24,0.004109831,0.024395417,0.003878377,0.025811112,9.744055,8.865108
25,0.004111105,0.024437292,0.003871547,0.022957753,9.743085,8.587317
26,0.004110908,0.02441773,0.0038305414,0.024963377,9.746018,8.760585
27,0.0041042776,0.024370318,0.003822062,0.0231496,9.739464,8.596407
28,0.004106869,0.024404272,0.0038229206,0.025092702,9.741049,8.766106
29,0.0041048285,0.024302064,0.0038172589,0.02350421,9.732477,8.610283
30,0.0041054133,0.024365079,0.003807456,0.024407137,9.737072,8.683466
31,0.0041013034,0.024320995,0.0038050537,0.021849656,9.734043,8.459025
32,0.0041031754,0.02430781,0.0037942384,0.02344678,9.734371,8.600432
33,0.0041034333,0.024219383,0.0038088097,0.024345178,9.724773,8.683322
34,0.0041068923,0.024310997,0.0037966073,0.022296175,9.731125,8.490505
35,0.0041049668,0.024379702,0.0037907092,0.023613118,9.742047,8.600799
36,0.0041029286,0.024334924,0.0037945132,0.020989887,9.73003,8.376912
37,0.0041116294,0.024367405,0.0037719319,0.020145705,9.738584,8.270221
38,0.0041045533,0.024357298,0.0037866328,0.02007115,9.742991,8.276118
39,0.004101916,0.024244908,0.0037688955,0.022660451,9.728033,8.509206
40,0.004098102,0.024333222,0.0037809669,0.022589672,9.735743,8.512464
41,0.004103988,0.024297422,0.0037803815,0.020501379,9.734502,8.320524
42,0.004102177,0.024350766,0.0037848933,0.021987636,9.732683,8.449249
43,0.0040997965,0.02427028,0.003791166,0.022462536,9.727771,8.493092
44,0.004097773,0.024264973,0.0037812053,0.022678655,9.729015,8.511265
45,0.004095876,0.024212211,0.0037763848,0.020097768,9.721033,8.2829895
46,0.004098771,0.02423836,0.0037672701,0.021375675,9.730514,8.379562
47,0.004095911,0.024209417,0.0037642715,0.021099051,9.72222,8.352568
48,0.004093416,0.024140365,0.0037623823,0.020224933,9.7147255,8.27841
49,0.004101988,0.024268512,0.0037530444,0.020626869,9.731967,8.3124895
