loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0.9532520174980164,0.9724969863891602,98.8504867553711,0.9404383897781372,0.9661436676979065,97.98309326171875
0.9258757829666138,0.9585354328155518,97.4510498046875,0.9116688370704651,0.9513309597969055,96.51136016845703
0.8983671069145203,0.944147527217865,96.01563262939453,0.8843874931335449,0.9368487000465393,95.09200286865234
0.8719300031661987,0.9298970699310303,94.62674713134766,0.8580154776573181,0.9223976731300354,93.69403839111328
0.8455920815467834,0.9152729511260986,93.22589111328125,0.8312042951583862,0.9072840213775635,92.23417663574219
0.8184696435928345,0.8997969031333923,91.74459838867188,0.8034850358963013,0.8912118673324585,90.68291473388672
0.7903425693511963,0.8832880854606628,90.1692886352539,0.7746124863624573,0.8739680647850037,89.01984405517578
0.7610152959823608,0.8655596375465393,88.47864532470703,0.7443757653236389,0.8553465008735657,87.22545623779297
0.7302804589271545,0.8463983535766602,86.65579986572266,0.7127148509025574,0.8352161049842834,85.28760528564453
0.6982603669166565,0.8257707357406616,84.6938705444336,0.6798036694526672,0.8135431408882141,83.20452117919922
0.6651574373245239,0.8036497831344604,82.59471130371094,0.6460251212120056,0.790413498878479,80.98357391357422
0.6314266920089722,0.7801898717880249,80.37104034423828,0.6117756962776184,0.7659603357315063,78.63824462890625
0.5973078608512878,0.7554236054420471,78.02485656738281,0.577365517616272,0.7402753829956055,76.17778778076172
0.5632060766220093,0.7295376658439636,75.57682800292969,0.5430513620376587,0.7134279608726501,73.60848999023438
0.5292678475379944,0.7025445103645325,73.02611541748047,0.5090494155883789,0.6855064034461975,70.9395751953125
0.495668888092041,0.6744970679283142,70.38227844238281,0.47557345032691956,0.656597375869751,68.17992401123047
0.46269190311431885,0.6455128192901611,67.6518325805664,0.442903608083725,0.6267792582511902,65.33875274658203
0.4305908977985382,0.6156596541404724,64.84867858886719,0.41135507822036743,0.5962358117103577,62.43575668334961
0.39965590834617615,0.5851576328277588,61.99065017700195,0.38118237257003784,0.5652492642402649,59.500545501708984
0.37011057138442993,0.5543439984321594,59.11001968383789,0.35253041982650757,0.5341981053352356,56.57279968261719
0.3420851528644562,0.523666262626648,56.25545120239258,0.3253958225250244,0.5035160779953003,53.698665618896484
0.3154701888561249,0.49349287152290344,53.460792541503906,0.29968348145484924,0.47532784938812256,51.09208679199219
0.2902579605579376,0.4667908847332001,51.023956298828125,0.275341659784317,0.4529900550842285,49.08348846435547
0.266354501247406,0.44400084018707275,48.98476791381836,0.25226885080337524,0.4299727976322174,47.01322555541992
0.24367868900299072,0.42088308930397034,46.915000915527344,0.23035985231399536,0.4066080152988434,44.907745361328125
0.222121924161911,0.3976149260997772,44.82676696777344,0.209523543715477,0.3833410441875458,42.807350158691406
0.2016499638557434,0.3745792806148529,42.753990173339844,0.18972714245319366,0.360382080078125,40.73183822631836
0.1822247952222824,0.35185250639915466,40.71083450317383,0.17098677158355713,0.3377918303012848,38.6842041015625
0.16388192772865295,0.3295111656188965,38.6925163269043,0.15330983698368073,0.31563177704811096,36.66779327392578
0.1465921401977539,0.3076000213623047,36.70748519897461,0.13669799268245697,0.2951396703720093,34.80288314819336
0.13039319217205048,0.28673887252807617,34.80907440185547,0.12114810943603516,0.2753539979457855,32.990440368652344
0.1152665764093399,0.26678144931793213,32.98229217529297,0.10665613412857056,0.2554575800895691,31.1468563079834
0.10119560360908508,0.2468722015619278,31.143096923828125,0.09322026371955872,0.2355220764875412,29.276376724243164
0.08818220347166061,0.2270326018333435,29.29186248779297,0.08082893490791321,0.21569018065929413,27.39109230041504
0.07620511204004288,0.2073526829481125,27.42978286743164,0.06947116553783417,0.19604893028736115,25.50025177001953
0.06526815891265869,0.18793463706970215,25.576061248779297,0.059140659868717194,0.17672622203826904,23.62082290649414
0.05536394193768501,0.16888442635536194,23.743993759155273,0.049836739897727966,0.15782476961612701,21.76872444152832
0.046495430171489716,0.15044701099395752,21.962068557739258,0.04154783487319946,0.13959112763404846,19.976707458496094
0.03864686191082001,0.13349318504333496,20.320966720581055,0.03424809128046036,0.12254147231578827,18.30030632019043
0.03178198263049126,0.11895392090082169,18.918819427490234,0.027896007522940636,0.11002108454704285,17.07562828063965
0.025850649923086166,0.10725388675928116,17.795133590698242,0.022436263039708138,0.09849493205547333,15.948505401611328
0.0207650288939476,0.09639356285333633,16.755630493164062,0.01777227409183979,0.08717937767505646,14.843583106994629
0.01646072417497635,0.08576171100139618,15.735294342041016,0.01390854548662901,0.07661250233650208,13.809897422790527
0.012937497347593307,0.0756143108010292,14.760528564453125,0.010810155421495438,0.06689734756946564,12.861764907836914
0.010145912878215313,0.06601547449827194,13.83928394317627,0.008414747193455696,0.05760478228330612,11.952900886535645
0.008023235015571117,0.05707942694425583,12.981056213378906,0.006653144955635071,0.04891025647521019,11.101673126220703
0.006496330723166466,0.04898783937096596,12.204591751098633,0.005436243023723364,0.04106735810637474,10.334228515625
0.0054672034457325935,0.041888535022735596,11.518750190734863,0.004656871780753136,0.03442009538412094,9.685205459594727
0.004826688207685947,0.03600651025772095,10.955265045166016,0.004202405456453562,0.02993696555495262,9.249696731567383
0.004462562967091799,0.031585559248924255,10.530884742736816,0.003963524010032415,0.026163075119256973,8.881776809692383
