,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
0,0.035562005,0.08366269,0.0853476,0.087066054,0.17489949,0.18686037,0.18689503,0.19882704,0.18789369,0.18792984,0.19483218,0.18629196,0.1791076,0.17195849,0.16588546,0.16071111
1,0.05473068,0.083722584,0.085367985,0.08731576,0.1749698,0.186886,0.18693143,0.19883303,0.18791269,0.18796398,0.19484647,0.18630746,0.1791222,0.17197394,0.16589673,0.16072075
2,0.05744738,0.08374503,0.085380726,0.08756916,0.17503934,0.18691494,0.18696335,0.19884051,0.18793562,0.18799889,0.19486476,0.18632618,0.17913704,0.17199077,0.16591133,0.16073148
3,0.06034413,0.08378228,0.085436106,0.08782173,0.17510734,0.18694848,0.18699811,0.1988473,0.18795805,0.18803303,0.1948837,0.18634538,0.17915262,0.17200959,0.16592535,0.1607431
4,0.060495153,0.08399771,0.085494794,0.08807356,0.175176,0.18698214,0.18703188,0.1988535,0.1879801,0.18806785,0.19490263,0.1863645,0.17916963,0.17202622,0.16593733,0.16075538
5,0.06155525,0.084264755,0.08555169,0.08832238,0.17524537,0.18701293,0.18706714,0.19886194,0.18800388,0.18810312,0.19492196,0.18638477,0.17918444,0.17204195,0.1659512,0.16076761
6,0.061882336,0.08437111,0.08559993,0.08857422,0.17531481,0.18704435,0.18710205,0.19887123,0.18802688,0.18813832,0.19493718,0.18640393,0.17920066,0.1720597,0.16596423,0.16077936
7,0.06250055,0.084449396,0.085637495,0.0888193,0.1753889,0.18707785,0.18713777,0.19887659,0.18805078,0.18817315,0.19495653,0.18642314,0.17921597,0.17207621,0.16597894,0.16079241
8,0.06256281,0.08447465,0.085695915,0.08907371,0.17545807,0.18711247,0.18717548,0.19888292,0.1880746,0.18820918,0.1949745,0.18644132,0.1792329,0.17209259,0.16599187,0.16080636
9,0.065370336,0.08450468,0.085781716,0.08932613,0.17553201,0.18714672,0.18721107,0.19889028,0.18810117,0.18824373,0.194995,0.18645982,0.17924967,0.17210865,0.16600505,0.16081831
10,0.06554242,0.08454483,0.08580418,0.08957158,0.17560259,0.1871785,0.1872465,0.19889747,0.18812326,0.18827933,0.1950121,0.18647957,0.17926678,0.1721246,0.16601972,0.16083156
11,0.06564796,0.08475995,0.0858495,0.08981904,0.17567272,0.18720965,0.18728326,0.19890507,0.18814647,0.18831392,0.19503139,0.18649735,0.17928086,0.17214032,0.16603404,0.16084312
12,0.06654565,0.08482237,0.085902005,0.09006121,0.17574035,0.18724075,0.1873174,0.19891013,0.18817064,0.18834917,0.19504972,0.18651694,0.17929809,0.17215566,0.1660494,0.16085586
13,0.07149865,0.085026085,0.086010635,0.09030503,0.17581056,0.18727596,0.18735343,0.19891727,0.18819499,0.18838456,0.19506894,0.18653528,0.17931353,0.17217122,0.16606346,0.16086836
14,0.072475575,0.08506157,0.08601403,0.090510964,0.17586693,0.18730807,0.18738054,0.19892523,0.18821841,0.1884135,0.19508852,0.18655658,0.17933121,0.17218968,0.16607755,0.16088165
15,0.07474805,0.08516871,0.08611874,0.09075521,0.17593318,0.18734036,0.18741594,0.19893236,0.1882428,0.18844773,0.19510792,0.18657452,0.1793468,0.17220636,0.1660933,0.16089356
16,0.074944355,0.08518713,0.08614722,0.09100048,0.17600332,0.18734246,0.18745115,0.19893332,0.18824495,0.18848158,0.19510989,0.18657593,0.17934847,0.17220803,0.16609399,0.16089492
17,0.07733756,0.08533287,0.08618361,0.09124968,0.17607097,0.18738034,0.18748637,0.19894134,0.18826997,0.18851501,0.19513056,0.18659492,0.17936558,0.17222507,0.16610968,0.16090897
18,0.07892998,0.08546175,0.08625828,0.09149283,0.17613676,0.18741511,0.18752292,0.19894877,0.18829605,0.18854924,0.19514957,0.18661521,0.17938377,0.17224295,0.16612625,0.16092284
19,0.080955125,0.085508555,0.08627099,0.09174103,0.17620456,0.187448,0.18756023,0.19895834,0.1883219,0.18858469,0.19517058,0.18663561,0.17940077,0.1722615,0.1661421,0.16093457
20,0.08247702,0.08551717,0.086309314,0.091987304,0.17627546,0.18748473,0.18759437,0.19896743,0.18834436,0.18861933,0.19518965,0.1866584,0.17941645,0.17228232,0.16615759,0.16094853
21,0.084327005,0.0858327,0.086372845,0.092237905,0.17634237,0.187518,0.1876313,0.19897668,0.1883695,0.18865319,0.19520876,0.18668102,0.17943452,0.17230146,0.16617371,0.16096266
22,0.08498105,0.085879594,0.086467184,0.09248629,0.1764096,0.18755527,0.18766607,0.19898449,0.18839337,0.18868782,0.19522953,0.18670362,0.17945051,0.17231998,0.1661893,0.1609783
23,0.08574627,0.08603407,0.08646845,0.09272751,0.17647567,0.18759453,0.18770026,0.19899261,0.18841931,0.18872216,0.19525154,0.1867244,0.1794691,0.17233855,0.16620442,0.16099182
24,0.085823886,0.08617284,0.086525396,0.09297098,0.1765444,0.18762791,0.18773705,0.19900107,0.18844578,0.18875787,0.19527295,0.18674353,0.1794864,0.17235777,0.16621998,0.16100682
25,0.08609874,0.08617551,0.08657422,0.09321688,0.17660967,0.18766089,0.18777294,0.1990071,0.18847258,0.18879184,0.19529223,0.1867643,0.17950386,0.1723765,0.16623402,0.1610197
