,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
31,0.022630038,0.02251125,0.022560682,0.02671229,0.07145183,0.08904404,0.08647724,0.0817881,0.075769596,0.07544799,0.07241705,0.0683738,0.06493745,0.062054124,0.059352085,0.057031002
32,0.022645758,0.022513893,0.02257759,0.02684115,0.07153429,0.089067936,0.08648173,0.08179898,0.0757829,0.07545035,0.07242733,0.06838339,0.06494522,0.06206089,0.05935854,0.0570369
33,0.02270957,0.022529745,0.022578549,0.026970223,0.07161685,0.0890926,0.08648563,0.081809804,0.075796425,0.07545253,0.072437435,0.06839254,0.064952925,0.062068347,0.05936523,0.057042483
34,0.022726176,0.022535443,0.022582673,0.027099533,0.07169934,0.089116335,0.08648995,0.08182001,0.07580967,0.07545494,0.07244724,0.06840175,0.06496059,0.062075403,0.059371375,0.057048034
35,0.022746451,0.022553653,0.022585215,0.027228493,0.071782194,0.08914079,0.08649441,0.08183059,0.07582286,0.07545763,0.07245723,0.068410575,0.06496846,0.06208276,0.05937782,0.057053614
36,0.022753133,0.022554703,0.02261025,0.027356634,0.07186443,0.089166075,0.08649906,0.08184134,0.07583647,0.07545983,0.07246686,0.06841982,0.06497613,0.062089574,0.05938457,0.05705947
37,0.022762965,0.022555187,0.022631958,0.027485138,0.07194683,0.08918626,0.086502545,0.08185047,0.075848036,0.07546171,0.07247548,0.06842797,0.06498272,0.06209534,0.059390135,0.057064325
38,0.022765512,0.022557138,0.02263861,0.027612962,0.07202923,0.089211315,0.08650696,0.081861585,0.07586161,0.0754638,0.07248575,0.06843763,0.064990915,0.062102553,0.059396606,0.05707043
39,0.022778098,0.0225611,0.022640632,0.027740417,0.072111145,0.08923623,0.086511746,0.08187279,0.07587534,0.075466275,0.07249596,0.06844706,0.06499921,0.062109724,0.059403144,0.05707597
40,0.022781244,0.022566175,0.022645352,0.027867299,0.072193645,0.08926081,0.08651598,0.08188396,0.07588932,0.075468555,0.07250582,0.06845688,0.065007195,0.06211666,0.059409976,0.05708167
41,0.022783456,0.022566203,0.022646813,0.027994806,0.07227644,0.08928566,0.086520955,0.081895374,0.075903066,0.07547075,0.072515786,0.06846648,0.0650155,0.062123623,0.059416767,0.05708767
