,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
31,0.12531506,0.124929346,0.125338,0.13240032,0.20646241,0.20641975,0.20810674,0.23662683,0.22956705,0.2308524,0.24868494,0.23933189,0.2313256,0.223039,0.21585798,0.20973958
32,0.12536938,0.12493925,0.12534517,0.13263367,0.2064796,0.20644765,0.20818527,0.2366323,0.22959396,0.23091847,0.24870996,0.23935829,0.23134592,0.22306094,0.2158773,0.20975827
33,0.12572278,0.12495725,0.12543388,0.13286373,0.20649844,0.20647937,0.20826389,0.23663493,0.22962259,0.23098384,0.24873376,0.23938227,0.23136587,0.22308682,0.21589796,0.20977528
34,0.12585157,0.1250741,0.12545495,0.13309762,0.20652513,0.20650603,0.20833962,0.23664148,0.22964926,0.23104954,0.24875592,0.23940656,0.23138553,0.22311088,0.21591538,0.20979203
35,0.12592027,0.12507653,0.12547927,0.13331951,0.20654252,0.2065364,0.20841892,0.23664556,0.2296753,0.23111686,0.24877916,0.23942879,0.23140633,0.22313617,0.21593457,0.20980884
36,0.125938,0.12508133,0.12560353,0.13354526,0.20656966,0.20657137,0.20849764,0.23664589,0.2297039,0.23118109,0.24880007,0.23945342,0.23142599,0.2231589,0.21595527,0.20982742
37,0.12594762,0.12516826,0.12571153,0.13377087,0.2065908,0.20659609,0.20857383,0.23664762,0.22972953,0.23124425,0.24882121,0.2394766,0.23144355,0.22317791,0.21597223,0.20984256
38,0.12598792,0.12519944,0.12573205,0.13398497,0.20661424,0.20663014,0.20865037,0.23665383,0.22975828,0.23130815,0.24884625,0.23950356,0.2314663,0.22320218,0.21599166,0.20986249
39,0.1260407,0.12521347,0.12573893,0.13419035,0.20663291,0.20666327,0.2087286,0.23666078,0.22978748,0.23137474,0.24887066,0.23952927,0.23148964,0.22322634,0.21601105,0.20987882
40,0.12607984,0.12521966,0.12574479,0.13439831,0.20665425,0.20669433,0.20880556,0.23666401,0.2298181,0.23144029,0.24889326,0.23955707,0.23151137,0.22324903,0.21603249,0.20989612
41,0.12608081,0.12522116,0.12578885,0.13461854,0.2066845,0.20672679,0.20888078,0.23666559,0.22984742,0.23150483,0.24891654,0.23958382,0.23153485,0.22327225,0.21605366,0.20991503
42,0.12622517,0.12528454,0.12579052,0.13484168,0.20670909,0.20675948,0.20895816,0.23667224,0.22987792,0.23156996,0.24894094,0.23960781,0.23155718,0.22329473,0.21607469,0.20993358
43,0.12623988,0.1253005,0.12579542,0.13504921,0.20672943,0.20679305,0.20903423,0.23667362,0.22990593,0.23163554,0.2489658,0.23963289,0.23158042,0.22331677,0.21609575,0.20995225
44,0.12624939,0.12530364,0.12582326,0.13522618,0.20674875,0.2068252,0.20909598,0.23667812,0.22993541,0.23168956,0.24899097,0.2396608,0.23160298,0.22333841,0.21611668,0.20996894
45,0.12626128,0.1253723,0.12584262,0.13545927,0.20677416,0.20685887,0.2091707,0.23668744,0.22996606,0.23175749,0.24901634,0.23968777,0.23162429,0.2233621,0.21613882,0.2099867
46,0.12627013,0.12538819,0.12585132,0.13567628,0.2068088,0.20689002,0.20924652,0.23669562,0.22999543,0.23182358,0.24904062,0.2397136,0.23164551,0.22338648,0.2161587,0.21000563
47,0.12628973,0.12539035,0.12585638,0.13590035,0.20684001,0.20692533,0.20932339,0.23670208,0.23002632,0.23189208,0.24906558,0.23974045,0.23166722,0.22340843,0.21618088,0.21002398
