,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
0,0.027049562,0.06383172,0.06508986,0.06644091,0.14582226,0.16475666,0.16477425,0.16821726,0.15807441,0.15809749,0.16035348,0.15283181,0.14649846,0.14046267,0.1352469,0.13078672
1,0.04161918,0.06387836,0.06509995,0.06666793,0.145915,0.1647827,0.16479287,0.16822554,0.1580919,0.15811905,0.16036646,0.15284531,0.14651105,0.14047545,0.13525653,0.13079497
2,0.043649044,0.06389786,0.06511378,0.066896714,0.14600725,0.16481267,0.16480875,0.16823587,0.15811299,0.15814117,0.16038288,0.15286162,0.14652415,0.14048946,0.13526894,0.1308042
3,0.045833915,0.063926026,0.06515504,0.06712624,0.14609824,0.16484615,0.1648266,0.1682456,0.15813369,0.15816277,0.16039984,0.15287831,0.14653775,0.14050494,0.13528086,0.13081412
4,0.046000313,0.06409494,0.06520147,0.06735463,0.14618985,0.16487974,0.16484353,0.1682548,0.15815407,0.15818496,0.16041683,0.15289499,0.14655247,0.14051886,0.13529119,0.13082455
5,0.046996996,0.064303026,0.06524614,0.067580454,0.14628096,0.16491118,0.16486172,0.16826576,0.15817581,0.1582074,0.1604341,0.15291253,0.1465655,0.1405321,0.13530305,0.130835
6,0.047057923,0.064383745,0.06528171,0.067807965,0.14637247,0.16494313,0.16487986,0.16827738,0.15819691,0.15822984,0.16044825,0.15292922,0.14657962,0.14054684,0.13531418,0.13084507
7,0.04749747,0.06443507,0.06530977,0.0680322,0.1464667,0.16497658,0.16489844,0.16828604,0.15821877,0.15825194,0.16046554,0.15294594,0.14659308,0.14056063,0.13532656,0.13085611
8,0.04755997,0.064460315,0.06535474,0.06826093,0.14655773,0.16501085,0.16491838,0.16829532,0.15824056,0.15827501,0.16048168,0.15296185,0.14660776,0.14057429,0.1353377,0.13086784
9,0.049922638,0.06448774,0.06542314,0.068488844,0.1466528,0.16504495,0.16493683,0.16830546,0.15826434,0.15829684,0.16049981,0.15297806,0.14662232,0.14058772,0.13534892,0.13087805
10,0.04997168,0.06451722,0.06543623,0.06871306,0.14674544,0.16507713,0.16495499,0.16831541,0.15828477,0.15831958,0.16051534,0.15299518,0.14663714,0.14060107,0.13536136,0.13088919
11,0.049984325,0.0646793,0.06547531,0.068938844,0.14683728,0.16510883,0.1649743,0.16832581,0.15830605,0.1583415,0.16053255,0.15301083,0.14664964,0.14061426,0.13537352,0.13089907
12,0.050536186,0.064725935,0.06551251,0.06916133,0.1469275,0.16514063,0.1649916,0.16833423,0.15832806,0.15836398,0.16054909,0.15302783,0.14666454,0.1406272,0.13538644,0.1309098
13,0.054394897,0.06488141,0.06559542,0.06938371,0.14701958,0.16517545,0.16501029,0.16834429,0.15835026,0.15838669,0.16056623,0.15304387,0.14667809,0.14064021,0.1353984,0.13092043
14,0.05520562,0.06490802,0.065601476,0.06956956,0.14709347,0.16520794,0.16502373,0.16835496,0.1583717,0.15840515,0.16058369,0.15306216,0.14669333,0.14065552,0.13541041,0.13093162
15,0.056945637,0.06498968,0.06567963,0.06979183,0.14718227,0.16524063,0.16504186,0.16836487,0.15839389,0.15842682,0.160601,0.15307796,0.14670701,0.14066938,0.13542368,0.1309418
16,0.057104543,0.06500154,0.06570345,0.07001475,0.14727362,0.16524288,0.16506003,0.16836599,0.15839584,0.1584482,0.1606027,0.15307921,0.14670844,0.14067075,0.1354243,0.13094291
17,0.058922898,0.065114565,0.06573047,0.07023922,0.14736377,0.16527976,0.16507812,0.16837671,0.15841852,0.15846923,0.160621,0.15309581,0.14672327,0.14068495,0.13543752,0.13095474
