baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
"[0.006428576, 0.022313856, 8.691082]","[0.0065883566, 0.022608038, 9.266718]","[0.0067133787, 0.022750553, 9.192538]","[0.011931384913623333, 0.21232473850250244, 28.173568725585938]","[0.005703924223780632, 0.22943826019763947, 30.447372436523438]","[0.00421465840190649, 0.02692832052707672, 10.119749069213867]","[0.01396783534437418, 0.07297797501087189, 13.680887222290039]","[0.005294810980558395, 0.045753661543130875, 11.786172866821289]","[0.004189759027212858, 0.02506057731807232, 9.94265079498291]","[0.011045027524232864, 0.08011462539434433, 15.28041934967041]","[0.004371113143861294, 0.023106059059500694, 9.856254577636719]","[0.0043311528861522675, 0.02180136926472187, 9.712955474853516]","[0.0041666580364108086, 0.02044583670794964, 9.504913330078125]","[0.003578797, 0.043309867, 11.308827]","[0.0036405814, 0.024371685, 9.474175]","[0.0034304766, 0.020359095, 8.871937]","[0.0034572734, 0.02192773, 9.045173]"
"[0.0069626314, 0.020412687, 10.20972]","[0.006750147, 0.02055852, 7.729709]","[0.006319795, 0.02080683, 10.452453]","[0.011675674468278885, 0.21188496053218842, 26.96063995361328]","[0.005344195757061243, 0.2289016991853714, 29.209766387939453]","[0.0038384331855922937, 0.0260007381439209, 8.849579811096191]","[0.013812855817377567, 0.07232430577278137, 12.47548770904541]","[0.004954928066581488, 0.044941291213035583, 10.52161979675293]","[0.003811847185716033, 0.024139130488038063, 8.662712097167969]","[0.010682852007448673, 0.07928764075040817, 14.089202880859375]","[0.003974913153797388, 0.02208738401532173, 8.566630363464355]","[0.003935892600566149, 0.020866451784968376, 8.431745529174805]","[0.0037843603640794754, 0.019483812153339386, 8.22512435913086]","[0.0032690293, 0.042252187, 10.141887]","[0.003301206, 0.023335716, 8.226836]","[0.0032678645, 0.019570595, 7.5708027]","[0.0032167276, 0.02077543, 7.804079]"
