,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.02318938,0.05585154,0.0038315977,0.020321917,12.865479,8.369178
1,0.0041183797,0.025063656,0.0038176726,0.020274624,9.810207,8.339767
2,0.0041028294,0.02470269,0.003850271,0.021202086,9.774178,8.449239
3,0.0040954016,0.024466356,0.0038918026,0.019379951,9.745149,8.278033
4,0.0040814616,0.02432112,0.0037864759,0.020762088,9.727882,8.362226
5,0.0040881475,0.024288429,0.0037657134,0.021156609,9.732333,8.419517
6,0.004080591,0.024162602,0.0038430868,0.019006373,9.714153,8.243143
7,0.004071231,0.024071595,0.0037991742,0.02077627,9.704717,8.29271
8,0.004073285,0.024078498,0.0037283865,0.02008624,9.698029,8.239991
9,0.0040673725,0.02404828,0.0037512898,0.019105377,9.699421,8.199488
10,0.004059795,0.023995433,0.0037726562,0.020175185,9.69284,8.340053
11,0.004067482,0.024024652,0.0038260887,0.020766988,9.695482,8.347484
12,0.0040569496,0.023952533,0.0037102115,0.01980937,9.688918,8.251906
13,0.004063242,0.023939766,0.0037431638,0.021166675,9.689577,8.380089
14,0.004071094,0.023991834,0.003694566,0.022804273,9.695822,8.468393
15,0.0040610414,0.024022127,0.0037583027,0.020585636,9.693638,8.334924
16,0.004058986,0.023900356,0.0037561401,0.01937167,9.684389,8.220657
17,0.004068434,0.024085518,0.00369662,0.020736447,9.693362,8.326482
18,0.004061247,0.023884892,0.0038067426,0.020624867,9.677395,8.348376
19,0.0040567173,0.02390707,0.0036905785,0.019486686,9.676827,8.179222
20,0.0040536714,0.0239334,0.0036722557,0.021023788,9.68074,8.341951
21,0.004058084,0.024002513,0.003682086,0.020835163,9.687917,8.298172
22,0.004048214,0.024114935,0.0037269758,0.020292556,9.692432,8.208558
23,0.004037158,0.024085283,0.0036661248,0.02133499,9.68117,8.341188
24,0.0040219803,0.024116319,0.0037607444,0.021411944,9.676346,8.32309
25,0.0040112897,0.024188047,0.0036552893,0.020553472,9.6742325,8.201406
26,0.00400305,0.02424165,0.003667616,0.021166973,9.668629,8.238318
27,0.0039776703,0.024168348,0.0035753648,0.022120532,9.645359,8.309846
28,0.00396516,0.024237951,0.003663526,0.019555677,9.642952,8.115143
29,0.003948966,0.024003863,0.003580927,0.01925856,9.61,8.031693
30,0.0039726924,0.023749137,0.0036453402,0.020611094,9.605561,8.232101
31,0.003975521,0.023901971,0.0036503274,0.021537935,9.621144,8.319713
32,0.003982105,0.023792889,0.0036235575,0.022833774,9.601587,8.392396
33,0.0039619277,0.023804452,0.003635155,0.01865431,9.589485,8.051344
34,0.003939759,0.023711938,0.0036180846,0.02075198,9.577815,8.191151
35,0.0039314246,0.023606831,0.0036079066,0.021098344,9.56196,8.202023
36,0.0039133676,0.02365761,0.003612723,0.019050973,9.556815,8.06952
37,0.003908943,0.023668066,0.003614835,0.020740476,9.557174,8.233063
38,0.003889143,0.023549564,0.0035664414,0.020885605,9.529235,8.190206
39,0.0038716355,0.023526277,0.0035355992,0.021132007,9.522993,8.168443
40,0.0038623603,0.02348764,0.0035362272,0.020984245,9.50222,8.225617
41,0.0038312986,0.02335325,0.0035535016,0.019445619,9.47493,8.011211
42,0.0038254277,0.023323355,0.0035077548,0.022534776,9.457222,8.264206
43,0.0038260971,0.023515616,0.0034502766,0.022906044,9.467491,8.311713
44,0.0038195606,0.023423284,0.0035434163,0.020738069,9.453742,8.109519
45,0.0038108435,0.023300327,0.003469879,0.021512756,9.43236,8.223991
46,0.0038086658,0.023356155,0.0034847045,0.022111239,9.43657,8.195327
47,0.0037934715,0.023395155,0.0034539779,0.020705903,9.431969,8.107163
48,0.0037773587,0.023346258,0.0034223082,0.020258622,9.408435,8.016756
49,0.0037675933,0.02335784,0.0034365386,0.020535218,9.405018,8.027859
50,0.0037607623,0.023288008,0.003460411,0.02114919,9.391357,8.10282
51,0.003754722,0.023363113,0.003533411,0.023388674,9.388978,8.294089
52,0.0037557378,0.023355655,0.003440801,0.022410775,9.390806,8.192322
53,0.0037370694,0.023206426,0.0034117952,0.021486009,9.370542,8.094032
54,0.0037366608,0.023277221,0.0034561194,0.020310342,9.362764,7.983689
55,0.003740425,0.023225242,0.0034190107,0.022021519,9.358013,8.086188
56,0.0037658873,0.023359193,0.0034437194,0.020478852,9.378917,7.9468746
57,0.0037105582,0.023252567,0.0034398953,0.021257646,9.343494,8.033955
58,0.0037530346,0.023249816,0.0034318173,0.020797903,9.3600025,7.991978
59,0.0037090052,0.023199858,0.0034444332,0.02161777,9.334302,8.028048
60,0.0037141407,0.023259727,0.0034445762,0.019551896,9.339414,7.9522896
61,0.0037128548,0.023177432,0.0033727193,0.019490661,9.326529,7.8436356
62,0.0036885156,0.023173286,0.0034671142,0.020289693,9.322363,7.9967885
63,0.0036778732,0.023182295,0.0033772795,0.022857038,9.302851,8.146544
64,0.0036817049,0.02311429,0.003463505,0.01995529,9.298698,7.954146
65,0.003687423,0.023092808,0.0033531848,0.020371763,9.295204,8.010434
66,0.0037049337,0.023264505,0.0035707504,0.019376358,9.316021,7.9273844
67,0.003714204,0.023173682,0.0033918647,0.02153548,9.305695,8.011602
68,0.0036638961,0.023190599,0.003385268,0.020885231,9.2953,7.933942
69,0.0036640472,0.023192476,0.0034612971,0.023905888,9.283054,8.291401
70,0.003648442,0.023139514,0.0033820372,0.02038447,9.272133,7.9146204
71,0.0036432717,0.023100358,0.0033422082,0.01944223,9.26524,7.835219
72,0.003657171,0.02321441,0.0034571702,0.019676292,9.285431,7.9000607
73,0.0036490834,0.023180831,0.0033512737,0.019335657,9.275905,7.8162866
74,0.0036312933,0.02317958,0.003357108,0.021062871,9.268588,7.94547
75,0.0036355138,0.023007626,0.0033184707,0.020855838,9.250945,7.932512
76,0.0036402436,0.023095531,0.0033564642,0.019255605,9.24434,7.825992
77,0.003632635,0.02304762,0.0034444218,0.020542264,9.240895,7.8935227
78,0.0036441314,0.023069182,0.0033963474,0.020710057,9.241784,7.954609
79,0.0036415025,0.023195487,0.0034051284,0.020108534,9.254293,7.9024396
80,0.0036213244,0.023186555,0.0033761652,0.02118774,9.229688,7.9382105
81,0.0036362663,0.023141494,0.003396051,0.02085022,9.244371,7.918573
82,0.0036285047,0.023032635,0.0033465615,0.020579001,9.224171,7.940389
83,0.003621003,0.023024665,0.0033718962,0.020939646,9.205307,7.9516535
84,0.0036121493,0.023013854,0.0033559387,0.020099726,9.203865,7.849252
85,0.0036326684,0.02304253,0.0033744373,0.021239128,9.218407,7.931107
86,0.0036117544,0.023017548,0.0033508542,0.020454764,9.196438,7.886863
